Index,Petrol tax (cents per gallon),Average income (dollars),Paved Highways (miles),Population_Driver_licence(%),Consumption of petrol (millions of gallons)
1,9,3571,1976,0.525,541
2,9,4092,1250,0.572,524
3,9,3865,1586,0.58,561
4,7.5,4870,2351,0.529,414
5,8,4399,431,0.544,410
6,10,5342,1333,0.571,457
7,8,5319,11868,0.451,344
8,8,5126,2138,0.553,467
9,8,4447,8577,0.529,464
10,7,4512,8507,0.552,498
11,8,4391,5939,0.53,580
12,7.5,5126,14186,0.525,471
13,7,4817,6930,0.574,525
14,7,4207,6580,0.545,508
15,7,4332,8159,0.608,566
16,7,4318,10340,0.586,635
17,7,4206,8508,0.572,603
18,7,3718,4725,0.54,714
19,7,4716,5915,0.724,865
20,8.5,4341,6010,0.677,640
21,7,4593,7834,0.663,649
22,8,4983,602,0.602,540
23,9,4897,2449,0.511,464
24,9,4258,4686,0.517,547
25,8.5,4574,2619,0.551,460
26,9,3721,4746,0.544,566
27,8,3448,5399,0.548,577
28,7.5,3846,9061,0.579,631
29,8,4188,5975,0.563,574
30,9,3601,4650,0.493,534
31,7,3640,6905,0.518,571
32,7,3333,6594,0.513,554
33,8,3063,6524,0.578,577
34,7.5,3357,4121,0.547,628
35,8,3528,3495,0.487,487
36,6.58,3802,7834,0.629,644
37,5,4045,17782,0.566,640
38,7,3897,6385,0.586,704
39,8.5,3635,3274,0.663,648
40,7,4345,3905,0.672,968
41,7,4449,4639,0.626,587
42,7,3656,3985,0.563,699
43,7,4300,3635,0.603,632
44,7,3745,2611,0.508,591
45,6,5215,2302,0.672,782
46,9,4476,3942,0.571,510
47,7,4296,4083,0.623,610
48,7,5002,9794,0.593,524
